geo,iso3,year,learning,learning_percentile,ef_percentile,gap_pct
FR,FRA,2018,97.4,0.7931034482758621,0.26666666666666666,-0.5264367816091955
HR,HRV,2018,94.03999999999999,0.6551724137931034,0.8,0.14482758620689662
HU,HUN,2018,69.42,0.20689655172413793,0.6,0.3931034482758621
IS,ISL,2018,66.24,0.13793103448275862,,
IT,ITA,2018,95.02000000000001,0.6896551724137931,0.3333333333333333,-0.35632183908045983
LI,LIE,2018,100.0,0.9655172413793104,,
LT,LTU,2018,83.66,0.3793103448275862,0.5666666666666667,0.18735632183908046
LU,LUX,2018,57.379999999999995,0.034482758620689655,0.6666666666666666,0.632183908045977
LV,LVA,2018,92.52000000000001,0.5172413793103449,0.4666666666666667,-0.05057471264367819
MK,MKD,2018,100.0,0.9655172413793104,,
MT,MLT,2018,100.0,0.9655172413793104,,
NL,NLD,2018,77.48,0.3448275862068966,1.0,0.6551724137931034
NO,NOR,2018,63.48,0.10344827586206896,,
PL,POL,2018,95.3,0.7241379310344828,0.7666666666666667,0.042528735632183956
PT,PRT,2018,74.42,0.3103448275862069,,
RO,ROU,2018,96.86,0.7586206896551724,0.6333333333333333,-0.12528735632183907
SK,SVK,2018,92.8,0.5517241379310345,0.7,0.14827586206896548
SI,SVN,2018,93.03999999999999,0.6206896551724138,,
SE,SWE,2018,97.97999999999999,0.8275862068965517,0.9,0.07241379310344831
AT,AUT,2019,99.36,0.896551724137931,0.967741935483871,0.07119021134593995
BE,BEL,2019,60.25999999999999,0.06896551724137931,0.9032258064516129,0.8342602892102335
BG,BGR,2019,86.52000000000001,0.4482758620689655,0.6451612903225806,0.1968854282536151
CY,CYP,2019,98.34,0.7758620689655172,,
CZ,CZE,2019,92.12,0.5172413793103449,0.41935483870967744,-0.09788654060066743
DE,DEU,2019,72.32000000000001,0.3103448275862069,0.8387096774193549,0.5283648498331479
DK,DNK,2019,67.32000000000001,0.1724137931034483,,
ES,ESP,2019,83.56,0.41379310344827586,0.25806451612903225,-0.1557285873192436
EE,EST,2019,72.28,0.27586206896551724,0.4838709677419355,0.20800889877641826
FI,FIN,2019,92.6,0.5517241379310345,0.7096774193548387,0.15795328142380427
FR,FRA,2019,98.34,0.7758620689655172,0.12903225806451613,-0.6468298109010011
HR,HRV,2019,94.17999999999999,0.6551724137931034,0.8064516129032258,0.15127919911012233
HU,HUN,2019,70.56,0.20689655172413793,0.6129032258064516,0.4060066740823137
IS,ISL,2019,64.92,0.13793103448275862,,
IT,ITA,2019,98.42,0.8275862068965517,0.25806451612903225,-0.5695216907675195
LI,LIE,2019,100.0,0.9655172413793104,,
LT,LTU,2019,83.06,0.3793103448275862,0.5483870967741935,0.16907675194660732
LU,LUX,2019,59.08,0.034482758620689655,0.5161290322580645,0.48164627363737483
LV,LVA,2019,93.26,0.5862068965517241,,
MK,MKD,2019,100.0,0.9655172413793104,,
MT,MLT,2019,100.0,0.9655172413793104,,
NL,NLD,2019,77.88,0.3448275862068966,1.0,0.6551724137931034
NO,NOR,2019,63.2,0.10344827586206896,0.9354838709677419,0.8320355951056729
PL,POL,2019,96.03999999999999,0.6896551724137931,0.7419354838709677,0.0522803114571746
PT,PRT,2019,71.97999999999999,0.2413793103448276,0.8709677419354839,0.6295884315906563
RO,ROU,2019,97.0,0.7241379310344828,0.6774193548387096,-0.04671857619577313
SK,SVK,2019,93.47999999999999,0.6206896551724138,0.5806451612903226,-0.04004449388209119
SI,SVN,2019,91.7,0.4827586206896552,,
SE,SWE,2019,98.78,0.8620689655172413,,
AT,AUT,2020,99.53999999999999,0.9,,
BE,BEL,2020,64.62,0.1,0.7666666666666667,0.6666666666666667
BG,BGR,2020,86.38,0.4,0.6666666666666666,0.2666666666666666
